FORMULA_ID,FORMULA_NO,FORMULA_VERS,FORMULA_DESC1,LINE_NO,INVENTORY_ITEM_ID,ORGANIZATION_ID,TYPE,DETAIL_UOM,QTY,STD_LOSS,STD_SG,STD_RATE,STD_RATE_WITH_LOSS,STD_VALUE_WOLOSS,WITH_LOSS_QTY,STD_VALUE_WIHLOSS,CREATION_DATE,LAST_UPDATE_DATE,CREATED,UPDATED_BY
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,13,283,103,Ingredient,KGS,0.25,3,1.56,186.85,0,46.7125,0.2575,48.113875,29-Jul-2015 01:54:32 PM,29-Jul-2015 01:54:32 PM,USMAN IBRAHIM,USMAN IBRAHIM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,14,6121501,103,Ingredient,KGS,2,3,1.56,138.81,0,277.62,2.06,285.9486,29-Jul-2015 01:54:33 PM,06-Jan-2022 12:31:01 PM,USMAN IBRAHIM,AKHTAR ALI
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,15,1190,103,Ingredient,KGS,0.1,3,1.56,140.72,0,14.072,0.103,14.49416,29-Jul-2015 01:54:33 PM,29-Jul-2015 01:54:33 PM,USMAN IBRAHIM,USMAN IBRAHIM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,16,46242,103,Ingredient,KGS,0,3,1.56,348.24,0,0,0,0,29-Jul-2015 01:54:33 PM,07-Nov-2019 03:46:13 PM,USMAN IBRAHIM,USMAN IBRAHIM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,17,2240,103,Ingredient,KGS,0.5,3,1.56,0.01,0,0.005,0.515,0.00515,29-Jul-2015 01:54:33 PM,29-Jul-2015 01:54:33 PM,USMAN IBRAHIM,USMAN IBRAHIM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,18,4543850,103,Ingredient,KGS,6,3,1.56,100.46,0,602.76,6.18,620.8428,29-Jul-2015 01:54:33 PM,29-Jul-2015 01:54:33 PM,USMAN IBRAHIM,USMAN IBRAHIM
110577,005600 -0000 -F29/ 147,22,BPPL ECON EMUL - WHITE,19,2240,103,Ingredient,KGS,2.65,3,1.56,0.01,0,0.0265,2.7295,0.027295,29-Jul-2015 01:54:33 PM,29-Jul-2015 01:54:33 PM,USMAN IBRAHIM,USMAN IBRAHIM
110697,005600 -0000 -F29/ 158,23,BPPL ECON EMUL - WHITE,1,2240,103,Ingredient,KGS,19,3,1.56,0.01,0,0.19,19.57,0.1957,31-Jul-2015 11:21:34 AM,07-Aug-2015 02:20:42 PM,USMAN IBRAHIM,USMAN IBRAHIM
110697,005600 -0000 -F29/ 158,23,BPPL ECON EMUL - WHITE,1,82119,103,Product,KGS,100,3,1.56,23.81,24.5243,2381,103,2452.43,31-Jul-2015 11:21:34 AM,31-Jul-2015 11:21:34 AM,USMAN IBRAHIM,USMAN IBRAHIM
110697,005600 -0000 -F29/ 158,23,BPPL ECON EMUL - WHITE,2,2245,103,Ingredient,KGS,0.1,3,1.56,68.68,0,6.868,0.103,7.07404,31-Jul-2015 11:21:34 AM,07-Aug-2015 02:20:42 PM,USMAN IBRAHIM,USMAN IBRAHIM
110697,005600 -0000 -F29/ 158,23,BPPL ECON EMUL - WHITE,3,6139495,103,Ingredient,KGS,0.5,3,1.56,126.69,0,63.345,0.515,65.24535,31-Jul-2015 11:21:34 AM,09-Nov-2020 08:46:05 AM,USMAN IBRAHIM,FIZZA NAEEM
